"customerid","totalrevenue","totalorders","lastpurchasedate"
"13318","640.76","3","08-12-2011"
"13319","10664.34","36","28-07-2011"
"13320","1475.2","6","30-09-2011"
"13321","567.36","2","28-09-2011"
"13322","199.48000000000002","1","22-11-2011"
"13323","787.85","5","18-11-2011"
"13324","7072.8","12","31-01-2011"
"13325","675.3","1","19-09-2011"
"13327","3617.57","9","26-07-2011"
"13328","1308.48","1","27-01-2011"
"13329","740.4","4","20-12-2010"
"13330","1140.93","3","28-01-2011"
"13332","350.9","1","25-11-2011"
"13334","3502.32","3","18-09-2011"
"13336","795.12","1","23-09-2011"
"13338","431.82","3","08-07-2011"
"13339","860.12","1","23-05-2011"
"13340","10736.48","7","28-07-2011"
"13341","775.85","1","24-03-2011"
"13343","303.93","2","20-06-2011"
"13344","2511.69","3","07-03-2011"
"13345","377.6","2","25-02-2011"
"13347","341.36","1","30-09-2011"
"13348","233.76","1","06-10-2011"
"13349","247.32","1","29-11-2011"
"13350","910.72","3","23-11-2011"
"13351","373.94","1","04-10-2011"
"13352","389.28","2","10-10-2011"
"13354","743.53","1","29-09-2011"
"13355","674.7","1","09-08-2011"
"13356","768.24","1","20-09-2011"
"13357","609.4","1","27-03-2011"
"13358","439.03000000000003","1","16-03-2011"
"13359","431.26","2","11-10-2011"
"13362","3085.4900000000002","5","30-11-2011"
"13363","992.5","2","27-10-2011"
"13364","0","2","29-09-2011"
"13365","2191.22","3","06-11-2011"
"13366","56.160000000000004","1","20-10-2011"
"13368","623.4","2","28-03-2011"
"13369","263.75","2","20-12-2010"
"13370","721.32","2","08-12-2010"
"13372","378.64","1","11-09-2011"
"13373","3312.25","3","10-10-2011"
"13375","772.9","2","19-09-2011"
"13376","1019.76","3","20-05-2011"
"13379","572.56","3","26-07-2011"
"13381","3626.81","7","18-11-2011"
"13382","222.99","1","04-03-2011"
"13384","4122.28","9","27-09-2011"
"13385","534.57","1","14-01-2011"
"13388","627.15","3","31-07-2011"
"13389","797.96","3","28-11-2011"
"13390","544.08","1","26-09-2011"
"13391","59.8","1","20-05-2011"
"13394","2312.8","10","22-09-2011"
"13395","307.71999999999997","1","07-06-2011"
"13396","1325.29","4","31-01-2011"
"13397","1539.18","6","28-09-2011"
"13398","457.34","1","31-05-2011"
"13402","621.23","2","04-08-2011"
"13403","75","1","22-11-2011"
"13404","252.48999999999998","2","11-05-2011"
"13405","572.451","3","26-09-2011"
"13408","27487.41","81","31-08-2011"
"13410","988.91","7","26-09-2011"
"13411","213.55","1","24-08-2011"
"13414","1390.5","3","29-07-2011"
"13416","712.5","2","27-10-2011"
"13417","640.83","2","18-05-2011"
"13418","5845.44","23","29-06-2011"
"13419","221.06","1","07-10-2011"
"13420","140.35","4","28-07-2011"
"13421","1831.61","3","30-10-2011"
"13422","2601.55","2","19-10-2011"
"13425","1624.21","3","24-06-2011"
"13426","3550.7000000000003","12","30-09-2011"
"13427","582.6","3","20-11-2011"
"13428","201.78","1","29-11-2011"
"13429","1006.8","4","29-11-2011"
"13430","648.6899999999999","4","28-09-2011"
"13431","1269.1","2","12-09-2011"
"13434","534.24","2","26-09-2011"
"13435","3794.4900000000002","9","26-10-2011"
"13436","196.89","1","08-12-2011"
"13437","3408.06","7","25-11-2011"
"13439","283.71","1","29-03-2011"
"13441","296.64","1","09-09-2011"
"13447","1104.23","4","16-11-2011"
"13448","3460.9900000000002","10","23-11-2011"
"13449","291.88","1","16-11-2011"
"13450","2043.72","6","19-05-2011"
"13451","2838.56","6","15-03-2011"
"13452","590","2","25-03-2011"
"13453","356.97999999999996","2","27-06-2011"
"13455","1007.35","4","23-05-2011"
"13456","1737.8200000000002","7","22-11-2011"
"13458","9537.92","22","27-10-2011"
"13460","183.44","2","21-10-2011"
"13461","1445","3","29-06-2011"
"13462","143.25","2","09-06-2011"
"13464","674.68","1","12-10-2011"
"13466","297.95","2","31-08-2011"
"13467","1071.91","2","29-11-2011"
"13468","5656.75","41","31-03-2011"
"13470","165","2","16-08-2011"
"13471","2501.84","4","23-10-2011"
"13473","417.54","3","13-01-2011"
"13474","226.84","1","17-04-2011"
"13475","1431.78","4","23-03-2011"
"13476","1092.77","4","14-06-2011"
"13477","1441.53","8","29-03-2011"
"13479","291","3","25-05-2011"
"13481","1776.81","8","31-05-2011"
"13482","184.64","1","21-04-2011"
"13483","140.34","1","05-10-2011"
"13484","313.8","1","12-04-2011"
"13485","454.24","1","20-04-2011"
"13486","1122.41","3","22-09-2011"
"13487","575.4","3","21-12-2010"
"13488","8910.61","17","30-03-2011"
"13489","449.52","4","26-08-2011"
"13491","1215.82","10","26-01-2011"
"13492","1269.84","3","26-07-2011"
"13493","618.63","2","25-02-2011"
"13494","316.26000000000005","1","01-02-2011"
"13495","1990.12","6","21-04-2011"
"13496","617.93","3","29-11-2011"
"13497","321.05","3","06-12-2010"
"13499","1146.96","7","28-04-2011"
"13500","1136.77","4","16-11-2011"
"13501","1310.47","2","24-02-2011"
"13502","292","3","23-11-2011"
"13503","216.85","1","29-09-2011"
"13504","295.93","1","06-10-2011"
"13505","4282.88","8","31-05-2011"
"13506","452.82","3","31-01-2011"
"13507","2479.16","4","24-08-2011"
"13508","110.97","1","10-04-2011"
"13509","979.72","7","30-03-2011"
"13510","1785.16","5","25-10-2011"
"13512","251.21","1","24-03-2011"
"13513","205.1","1","05-08-2011"
"13514","152.20000000000002","1","27-09-2011"
"13515","891.12","4","28-09-2011"
"13516","1389.41","3","28-09-2011"
"13517","2109.07","5","25-08-2011"
"13518","627.16","1","15-09-2011"
"13519","110.8","2","22-09-2011"
"13520","3487.75","8","25-07-2011"
"13521","1071.73","3","29-11-2011"
"13522","125.80000000000001","1","09-11-2011"
"13523","3755.38","6","24-10-2011"
"13524","680.1800000000001","5","30-10-2011"
"13525","628.78","2","25-11-2011"
"13527","2218.61","8","26-08-2011"
"13529","307.76","2","22-09-2011"
"13531","483.8","2","18-05-2011"
"13532","210.31","1","06-11-2011"
"13533","269.09","3","17-03-2011"
"13534","5613.08","43","31-08-2011"
"13536","3444.39","7","30-11-2011"
"13538","1280.85","7","28-01-2011"
"13539","605.84","4","15-09-2011"
"13544","276.06","2","31-10-2011"
"13546","621.09","3","27-11-2011"
"13548","678.16","2","10-04-2011"
"13549","916.12","8","31-05-2011"
"13551","91.80000000000001","1","24-01-2011"
"13552","3539.53","16","28-03-2011"
"13555","4098.88","4","27-09-2011"
"13557","584.06","2","11-11-2011"
"13558","594.52","4","16-11-2011"
"13560","171.42000000000002","1","02-12-2011"
"13561","141.85999999999999","1","08-05-2011"
"13562","1799.33","3","21-07-2011"
"13563","777.53","2","22-07-2011"
"13564","623.39","5","20-12-2010"
"13565","240.22","2","20-11-2011"
"13566","856.84","2","30-10-2011"
"13568","187.05","1","19-06-2011"
"13569","338.62","2","22-11-2011"
"13570","239.49","1","10-04-2011"
"13571","2088.94","12","31-05-2011"
"13572","1384.25","1","18-05-2011"
"13573","290.25","2","31-03-2011"
"13575","732.0699999999999","5","30-09-2011"
"13576","6703.3","20","29-11-2011"
"13577","1658.3","5","14-11-2011"
"13579","467.04","2","25-11-2011"
"13581","118","1","03-02-2011"
"13583","781.03","1","07-07-2011"
"13584","142.4","1","06-02-2011"
"13587","347","3","27-10-2011"
"13588","2445.12","13","29-03-2011"
"13589","379.65","2","25-11-2011"
"13590","1976.1200000000001","7","28-11-2011"
"13591","1117.13","3","19-05-2011"
"13592","247.96","4","20-03-2011"
"13593","1965.0800000000002","6","30-06-2011"
"13594","396.97","1","18-10-2011"
"13596","664.11","2","27-11-2011"
"13598","147.29","2","23-10-2011"
"13599","5026.85","33","29-11-2011"
"13600","219.52","1","31-01-2011"
"13601","693.32","2","25-10-2011"
"13602","428.89","1","06-10-2011"
"13603","164.34","1","13-11-2011"
"13606","276.75","3","10-11-2011"
"13607","675.51","1","30-10-2011"
"13610","1065.88","9","27-11-2011"
"13611","1140.8","4","27-06-2011"
"13614","1585.46","4","28-06-2011"
"13615","399.99","2","31-01-2011"
"13617","544.18","3","30-10-2011"
"13618","177.34","1","19-06-2011"
"13621","213.85","1","15-08-2011"
"13623","652.4","7","17-03-2011"
"13626","257.23","1","01-04-2011"
"13627","1624.02","7","22-09-2011"
"13629","7792.36","11","26-07-2011"
"13630","1995.68","11","27-02-2011"
"13631","3021.77","12","28-07-2011"
"13632","2114.68","6","28-10-2011"
"13634","1547.3600000000001","5","25-08-2011"
"13635","1071.03","1","03-10-2011"
"13636","941.62","6","27-02-2011"
"13637","804.3","3","27-04-2011"
"13638","122.64","1","24-11-2011"
"13639","1033.34","1","26-09-2011"
"13642","312.28000000000003","1","08-05-2011"
"13643","519.44","3","08-11-2011"
"13644","2597.52","5","27-09-2011"
"13645","252.1","1","11-08-2011"
"13647","1640.22","5","30-11-2011"
"13649","346.6","2","28-03-2011"
"13650","1809.3400000000001","7","23-11-2011"
"13651","94.2","2","31-10-2011"
"13652","1095.08","3","28-03-2011"
"13654","2707.33","6","27-10-2011"
"13655","932.97","2","17-08-2011"
"13656","379.65","2","28-06-2011"
"13657","382.14","2","29-11-2011"
"13658","2421.47","7","30-11-2011"
"13659","1540.65","3","26-05-2011"
"13662","862.58","7","29-03-2011"
"13663","189.47","1","13-06-2011"
"13666","84.65","3","25-02-2011"
"13667","299.05","1","13-07-2011"
"13668","6162.31","29","29-11-2011"
"13669","218.55","2","20-10-2011"
"13670","349.7","1","25-09-2011"
"13672","-71.46","6","11-02-2011"
"13673","387.44","2","21-11-2011"
"13675","486.82000000000005","2","28-02-2011"
"13678","232.6","1","11-07-2011"
"13680","2199.01","5","31-10-2011"
"13681","827.83","4","22-11-2011"
"13682","59.5","1","05-06-2011"
"13684","62.13","2","27-02-2011"
"13685","3119.44","7","25-10-2011"
"13686","72","1","10-06-2011"
"13689","910","1","07-10-2011"
"13690","172.25","1","11-10-2011"
"13692","1466.8700000000001","5","20-05-2011"
"13693","-32","2","18-01-2011"
"13694","62690.54","60","31-08-2011"
"13695","2504.13","15","26-04-2011"
"13697","151.29999999999998","1","01-11-2011"
"13699","308.58000000000004","1","07-07-2011"
"13700","2248.63","10","18-10-2011"
"13703","99.5","1","25-01-2011"
"13704","2295.31","10","27-09-2011"
"13705","711.86","3","18-07-2011"
"13706","330.79","1","10-02-2011"
"13707","806.41","2","28-01-2011"
"13708","285.33","1","13-03-2011"
"13709","6228.71","17","31-08-2011"
"13710","180.48","1","08-11-2011"
"13711","252.06","2","05-05-2011"
"13712","228.84","1","07-04-2011"
"13715","1051.99","8","13-12-2010"
"13716","138.28","1","15-03-2011"
"13717","1432.26","7","20-06-2011"
"13718","306.55","2","17-02-2011"
"13719","1041.68","5","24-11-2011"
"13720","799.9","4","30-03-2011"
"13721","524.14","1","03-11-2011"
"13722","2369.16","4","31-07-2011"
"13723","199.85000000000002","1","06-05-2011"
"13725","1809.81","11","29-09-2011"
"13726","1079.66","2","31-08-2011"
"13727","333.48","2","11-11-2011"
"13728","1016.14","6","30-03-2011"
"13730","752.6","2","27-07-2011"
"13731","610.59","2","07-04-2011"
"13732","491.86","1","11-11-2011"
"13735","2764.48","8","27-10-2011"
"13736","721.9","3","24-03-2011"
"13737","339.59999999999997","1","23-05-2011"
"13739","216.9","1","21-11-2011"
"13740","350.75","1","13-04-2011"
"13741","666.33","4","29-09-2011"
"13742","3079.27","14","30-06-2011"
"13743","1340.1499999999999","8","25-03-2011"
"13744","1080.52","2","20-02-2011"
"13745","291.54","2","30-06-2011"
"13747","79.6","1","01-12-2010"
"13748","948.25","5","21-04-2011"
"13750","1647.26","5","22-07-2011"
"13751","296.25","1","24-02-2011"
"13752","1175.38","6","15-05-2011"
"13753","741.26","1","25-02-2011"
"13754","282.59999999999997","2","26-01-2011"
"13755","2101.39","10","30-11-2011"
"13756","5145.12","15","21-11-2011"
"13758","3190.55","7","28-11-2011"
"13759","659.41","2","29-09-2011"
"13760","286.79","2","28-03-2011"
"13761","1070.65","2","20-10-2011"
"13762","0","2","19-05-2011"
"13763","1689.46","3","21-06-2011"
"13764","1519.42","3","30-09-2011"
"13767","16945.71","52","28-06-2011"
"13769","2771.87","16","29-03-2011"
"13771","2631.7","5","24-05-2011"
"13772","1122.63","3","14-04-2011"
"13774","345","1","19-09-2011"
"13777","25748.350000000002","41","31-03-2011"
"13778","178.7","1","28-08-2011"
"13780","360.01","2","22-06-2011"
"13781","127.84","1","03-04-2011"
"13782","908.86","6","27-11-2011"
"13784","2462.79","11","31-01-2011"
"13786","230.39999999999998","1","07-12-2010"
"13787","309.04","2","25-09-2011"
"13790","348.8","1","05-12-2011"
"13791","1047.68","3","27-10-2011"
"13792","195.55","2","25-02-2011"
"13798","36352.87","63","30-03-2011"
"13799","688.86","2","18-02-2011"
"13800","558.32","1","03-02-2011"
"13801","324.8","1","04-10-2011"
"13802","3906.27","6","30-03-2011"
"13803","277.07","1","29-03-2011"
"13804","2588.39","7","23-02-2011"
"13805","924.6","2","18-10-2011"
"13806","256.38","1","07-10-2011"
"13807","112.6","1","07-12-2010"
"13808","1747.66","5","24-10-2011"
"13809","155.05","1","07-02-2011"
"13810","899.51","4","14-10-2011"
"13811","591.75","4","18-04-2011"
"13812","539","3","28-10-2011"
"13813","1353.41","5","31-10-2011"
"13814","1562.12","3","25-07-2011"
"13815","4014.91","5","25-01-2011"
"13816","555.04","4","16-11-2011"
"13817","382.98","2","23-12-2010"
"13819","1140.35","3","24-01-2011"
"13821","385.64","2","23-03-2011"
"13822","632","2","30-10-2011"
"13823","957.66","2","21-11-2011"
"13824","1698.94","5","27-07-2011"
"13826","174.65","2","16-06-2011"
"13827","409.8","3","29-07-2011"
"13828","209.49","1","17-11-2011"
"13829","-102","1","15-12-2010"
"13831","2198.45","6","24-07-2011"
"13832","40.949999999999996","2","22-11-2011"
"13833","383.85","1","03-07-2011"
"13835","834.57","4","18-10-2011"
"13837","266.59000000000003","2","26-01-2011"
"13838","674.82","4","14-08-2011"
"13841","85","1","01-04-2011"
"13842","3385.62","9","28-09-2011"
"13844","361.62","1","28-11-2011"
"13845","312.98","1","06-10-2011"
"13846","847.61","4","15-11-2011"
"13848","1255","3","15-02-2011"
"13849","1537.95","2","22-06-2011"
"13850","1586.81","2","12-09-2011"
"13851","2651.46","3","24-02-2011"
"13853","1056.94","2","13-10-2011"
"13854","8025.0199999999995","29","27-05-2011"
"13856","363.4","5","24-06-2011"
"13858","216.17","1","13-10-2011"
"13859","201.16","1","17-01-2011"
"13860","1240","6","25-11-2011"
"13862","2187.31","10","28-09-2011"
"13863","299.56","2","08-04-2011"
"13865","501.56","4","26-07-2011"
"13866","145.67000000000002","1","26-09-2011"
"13867","1005.09","3","26-09-2011"
"13868","3192.54","2","02-12-2011"
"13869","3083.65","4","30-01-2011"
"13870","2751.25","10","30-10-2011"
"13871","6389.8","14","30-06-2011"
"13873","381.7","4","12-08-2011"
"13874","540.45","1","16-12-2010"
"13875","1786.79","5","29-07-2011"
"13876","122.7","1","07-10-2011"
"13877","117.24","1","14-09-2011"
"13878","1271.57","1","16-10-2011"
"13880","3219.77","13","18-11-2011"
"13881","16989.52","22","29-09-2011"
"13882","1131.28","6","28-11-2011"
"13883","2538.75","9","31-03-2011"
"13884","781.3000000000001","6","11-09-2011"
"13885","506.8","2","23-05-2011"
"13886","243.56","1","29-09-2011"
"13887","349.55","1","19-05-2011"
"13888","595.67","2","12-08-2011"
"13889","416.90000000000003","1","08-09-2011"
"13890","1860.8600000000001","14","27-10-2011"
"13892","632.97","4","18-10-2011"
"13893","821.1","1","15-02-2011"
"13894","535.97","5","17-11-2011"
"13895","2588.12","5","28-06-2011"
"13897","311.16","1","20-10-2011"
"13898","155.93","1","18-01-2011"
"13899","388.52","2","23-11-2011"
"13900","740.95","3","31-05-2011"
"13901","2867.2000000000003","5","28-09-2011"
"13904","332.64","2","18-02-2011"
"13908","2347.05","5","21-09-2011"
"13911","2580.91","9","26-05-2011"
"13914","613.95","3","28-11-2011"
"13917","272.04","2","21-10-2011"
"13918","1212.8400000000001","2","31-03-2011"
"13919","350.15999999999997","3","17-10-2011"
"13922","172.25","1","23-12-2010"
"13923","351.13","1","17-10-2011"
"13924","1682.08","11","30-11-2011"
"13925","616.65","6","28-07-2011"
"13926","223.85000000000002","1","16-11-2011"
"13927","348.99","1","26-09-2011"
"13928","464.57","4","29-11-2011"
"13929","802.85","3","23-06-2011"
"13930","337.34","2","26-07-2011"
"13931","1230.93","3","15-09-2011"
"13932","307.4","1","18-02-2011"
"13933","608.7900000000001","2","22-08-2011"
"13934","922.1","1","21-03-2011"
"13936","361.28","2","21-06-2011"
"13937","158.85","1","23-06-2011"
"13938","71.66","1","04-11-2011"
"13939","556.75","4","23-08-2011"
"13940","839.14","4","22-11-2011"
"13941","4912.41","7","21-06-2011"
"13946","561.5699999999999","3","22-05-2011"
"13947","90.6","1","05-10-2011"
"13948","102","1","14-12-2010"
"13949","2427.32","6","30-10-2011"
"13950","728.56","5","28-11-2011"
"13951","674.45","3","18-02-2011"
"13952","3246.091","3","15-04-2011"
"13953","3515.68","7","28-06-2011"
"13954","378.59","3","30-09-2011"
"13955","322.96","2","08-07-2011"
"13956","1019.27","5","24-07-2011"
"13958","-102.45","1","02-12-2010"
"13959","594.04","3","21-09-2011"
"13960","230.22","2","29-09-2011"
"13962","169.55","2","18-11-2011"
"13963","664.54","4","23-01-2011"
"13967","80.7","1","17-07-2011"
"13969","8956.92","20","27-10-2011"
"13971","2702.2200000000003","11","27-02-2011"
"13972","190.25","2","30-09-2011"
"13973","264.7","1","25-02-2011"
"13974","413.59000000000003","1","21-10-2011"
"13975","2438.19","7","29-07-2011"
"13976","357.98","1","17-05-2011"
"13978","196.79000000000002","2","25-11-2011"
"13979","869.87","1","27-09-2011"
"13980","200.14","1","10-10-2011"
"13982","1861.11","5","31-10-2011"
"13983","2590.46","13","31-10-2011"
"13984","488.03","6","18-01-2011"
"13985","7024.53","16","29-09-2011"
"13986","320.46","1","22-11-2011"
"13988","4098.8","9","30-06-2011"
"13989","1266.08","2","14-04-2011"
"13990","311.3","1","10-05-2011"
"13991","847.54","7","27-11-2011"
"13992","76.8","1","09-11-2011"
"13993","3409.66","12","31-08-2011"
"13994","2274.14","6","31-10-2011"
"13995","1383.49","6","24-11-2011"
"13999","3865.26","15","30-03-2011"
"14000","633.71","2","17-05-2011"
"14001","2030.33","4","25-10-2011"
"14002","529.73","2","28-07-2011"
"14004","4582.64","7","27-10-2011"
"14005","2874.72","5","30-11-2011"
"14006","962.19","3","31-01-2011"
"14009","685.9300000000001","3","25-05-2011"
"14012","328.8","1","07-03-2011"
"14013","473.02","3","21-08-2011"
"14014","505.18","1","23-09-2011"
"14015","917.34","1","18-10-2011"
"14016","4328.46","5","17-12-2010"
"14019","1398.96","4","24-10-2011"
"14020","642.8","2","23-11-2011"
"14021","631.9","3","28-03-2011"
"14022","440","1","28-04-2011"
"14023","584.07","2","03-04-2011"
"14024","327.7","2","10-08-2011"
"14027","104.82","1","10-10-2011"
"14029","467.66","2","18-07-2011"
"14030","2358.84","8","21-11-2011"
"14031","14634.64","23","31-03-2011"
"14032","2929.84","18","28-04-2011"
"14034","509.09","4","17-11-2011"
"14035","1428.02","5","24-08-2011"
"14036","626.65","1","28-02-2011"
"14037","147.20000000000002","2","16-06-2011"
"14038","1554.48","4","23-05-2011"
"14039","152.2","1","06-11-2011"
"14040","3487.59","15","30-10-2011"
"14041","141.41","1","18-03-2011"
"14044","646.42","4","28-08-2011"
"14045","1659.75","4","22-08-2011"
"14046","154.99","1","28-02-2011"
"14047","1290.01","7","27-09-2011"
"14048","375.13","2","07-03-2011"
"14049","5536.15","6","26-01-2011"
"14050","746.36","2","25-08-2011"
"14051","15477.34","26","31-03-2011"
"14052","225.36","1","20-11-2011"
"14053","260.25","2","07-08-2011"
"14054","92.46","1","05-10-2011"
"14055","725.6400000000001","1","25-08-2011"
"14056","8062.46","29","31-03-2011"
"14057","6141.099999999999","18","31-08-2011"
"14059","183.6","1","18-03-2011"
"14060","6135.38","20","26-01-2011"
"14062","10464.85","12","30-11-2011"
"14064","1168.92","7","31-03-2011"
"14066","152.55","1","18-03-2011"
"14067","374.7","2","07-10-2011"
"14068","265.85","1","23-01-2011"
"14071","1306.16","9","28-10-2011"
"14073","139.54","2","18-11-2011"
"14075","942.26","3","23-03-2011"
"14076","118.67","1","02-08-2011"
"14077","499.42","5","30-10-2011"
"14078","1049.37","6","30-08-2011"
"14079","375.09999999999997","1","07-08-2011"
"14080","45.599999999999994","1","07-11-2011"
"14081","891.77","4","17-03-2011"
"14082","182.25","1","10-12-2010"
"14083","1002.9","9","29-07-2011"
"14085","4408.54","19","30-11-2011"
"14087","178.72","2","07-12-2011"
"14088","50415.49","14","29-11-2011"
"14089","158.75","1","14-10-2011"
"14090","76.32000000000001","1","19-01-2011"
"14092","4063.1","17","31-07-2011"
"14093","433.86","1","27-11-2011"
"14096","57120.909999999996","34","31-10-2011"
"14098","147.35","1","03-11-2011"
"14099","3092.9700000000003","12","30-03-2011"
"14100","191.95000000000002","1","25-07-2011"
"14101","5976.79","6","27-09-2011"
"14102","1060.33","8","28-11-2011"
"14104","216.21","2","27-06-2011"
"14105","1260.33","2","15-09-2011"
"14107","2688.48","8","25-03-2011"
"14108","594.16","3","30-08-2011"
"14109","80.2","2","28-09-2011"
"14110","5669.650000000001","13","28-10-2011"
"14111","688.6","5","25-11-2011"
"14112","2774.17","12","30-10-2011"
"14113","1377.92","8","25-01-2011"
"14114","386.53","2","13-01-2011"
"14116","1382.74","5","20-11-2011"
"14117","90","1","19-07-2011"
"14119","-19.9","1","20-12-2010"
"14121","2740.3","6","29-11-2011"
"14124","419.58","1","16-09-2011"
"14125","2720.63","3","29-11-2011"
"14126","643.63","4","29-11-2011"
"14127","709.71","3","28-03-2011"
"14128","637.5","2","29-03-2011"
"14129","1123.8600000000001","5","24-03-2011"
"14130","480.91","1","24-01-2011"
"14132","3580.13","12","30-06-2011"
"14133","590.3399999999999","5","28-01-2011"
"14135","4690.31","15","26-08-2011"
"14138","965.8800000000001","2","08-12-2011"
"14139","415.82","1","24-10-2011"
"14140","920.05","3","18-11-2011"
"14141","879.0300000000001","6","27-09-2011"
"14142","311.81","1","01-12-2010"
"14143","115.8","1","29-07-2011"
"14145","3148.2","5","29-07-2011"
"14146","2949.57","6","30-03-2011"
"14147","468.4","3","27-02-2011"
"14148","157.2","1","20-04-2011"
"14149","259.43","3","11-05-2011"
"14150","658.64","2","15-12-2010"
"14152","611.09","3","25-09-2011"
"14154","1345.62","2","14-04-2011"
"14155","118.75","1","18-03-2011"
"14156","113214.59","66","31-07-2011"
"14157","392.44","3","27-02-2011"
"14158","507.66","1","30-10-2011"
"14159","4615.64","14","30-10-2011"
"14161","1097.6200000000001","3","08-05-2011"
"14162","289.36","2","20-02-2011"
"14163","2445.91","4","24-05-2011"
"14164","1631.77","2","30-09-2011"
"14165","120.44","1","09-03-2011"
"14167","562.59","4","31-10-2011"
"14171","363.79","1","02-09-2011"
"14173","450.84000000000003","4","29-11-2011"
"14174","134.46","1","06-11-2011"
"14175","3108.06","7","21-06-2011"
"14176","574","5","17-01-2011"
"14177","544.51","5","16-09-2011"
"14178","1600.26","7","30-10-2011"
"14179","701.57","2","30-10-2011"
"14180","4640.77","31","31-01-2011"
"14184","452.89","1","04-10-2011"
"14185","197.65","1","12-01-2011"
"14188","2018.91","10","31-08-2011"
"14189","4604.31","24","31-03-2011"
"14191","4660.01","14","30-06-2011"
"14193","853.39","2","15-03-2011"
"14194","11216.75","32","30-11-2011"
"14195","962.7","3","22-05-2011"
"14196","335.52","1","25-08-2011"
"14198","663.5","7","27-04-2011"
"14199","185.39999999999998","1","05-05-2011"
"14201","688.04","9","20-09-2011"
"14204","150.61","1","07-12-2011"
"14205","218.78","4","29-11-2011"
"14206","308.26","2","14-12-2010"
"14208","151.74","1","06-09-2011"
"14209","2067.13","7","29-11-2011"
"14210","1900.89","7","26-08-2011"
"14211","2208.3","13","28-02-2011"
"14212","1070.48","1","11-09-2011"
"14213","-1192.2","1","03-12-2010"
"14214","1000.23","7","22-06-2011"
"14215","1777.92","7","28-11-2011"
"14216","1839.3","4","23-11-2011"
"14217","1925.3600000000001","24","30-11-2011"
"14218","169.48000000000002","1","28-10-2011"
"14219","89.94","1","05-12-2011"
"14220","632.4","2","16-12-2010"
"14221","3427.85","10","28-10-2011"
"14222","683.17","1","15-06-2011"
"14223","975.23","4","24-03-2011"
"14224","1009.73","4","23-01-2011"
"14226","2184.2400000000002","7","30-09-2011"
"14227","3315.71","15","28-02-2011"
"14229","1450.6","5","28-01-2011"
"14231","822.0600000000001","5","24-02-2011"
"14232","2043.93","8","28-10-2011"
"14233","1447.51","5","27-10-2011"
"14234","754.12","4","25-10-2011"
"14235","3093.86","6","29-11-2011"
"14236","490.86","2","20-09-2011"
"14237","161","1","01-12-2010"
"14238","146.85","1","17-01-2011"
"14239","2323.5","13","29-09-2011"
"14240","890.34","2","28-04-2011"
"14241","213.70000000000002","1","09-06-2011"
"14242","280.55","2","19-04-2011"
"14243","2535.88","14","28-07-2011"
"14245","1677.48","5","29-03-2011"
"14246","1474.06","3","25-07-2011"
"14247","136.77","1","06-03-2011"
"14248","302.58","1","25-01-2011"
"14250","1904.05","3","11-09-2011"
"14251","2879.7000000000003","5","29-11-2011"
"14256","935.0600000000001","3","30-03-2011"
"14257","3087.27","6","25-01-2011"
"14258","12650.08","10","30-11-2011"
"14259","120","1","21-07-2011"
"14261","1163.45","2","22-09-2011"
"14262","2618.23","8","24-08-2011"
"14264","319.47","3","08-07-2011"
"14265","530.18","2","22-08-2011"
"14267","1279.09","7","31-03-2011"
"14270","492.65000000000003","1","12-01-2011"
"14271","112.32000000000001","1","28-04-2011"
"14272","437.96","2","30-03-2011"
"14273","559.97","4","26-07-2011"
"14276","1019.39","5","23-02-2011"
"14277","3928.8","4","24-11-2011"
"14280","134.04","1","27-05-2011"
"14282","3701.44","15","30-06-2011"
"14284","578.45","3","21-09-2011"
"14285","1910.01","4","25-09-2011"
"14286","4595.81","5","31-10-2011"
"14287","151.23000000000002","4","25-05-2011"
"14288","413.85","2","11-05-2011"
"14289","911.26","6","28-07-2011"
"14290","2307.4500000000003","6","28-11-2011"
"14291","3873.3","12","20-06-2011"
"14292","4819.33","14","31-10-2011"
"14293","1046.56","4","15-07-2011"
"14295","154.70000000000002","2","30-10-2011"
"14297","1284.06","6","28-10-2011"
"14298","50862.44","45","31-01-2011"
"14299","2855.35","18","27-09-2011"
"14300","43.2","1","21-11-2011"
"14301","632.04","2","24-08-2011"
"14304","197.1","2","11-02-2011"
"14305","1803.76","5","29-09-2011"
"14306","2083.42","3","21-09-2011"
"14307","2995.72","6","28-07-2011"
"14309","2319.6800000000003","10","24-06-2011"
"14311","229.71","2","28-04-2011"
"14312","1611.59","6","24-10-2011"
"14314","120","1","25-08-2011"
"14315","2456.98","7","28-07-2011"
"14317","508.58","1","06-10-2011"
"14320","343.11","3","21-01-2011"
"14321","1530.75","5","29-11-2011"
"14323","574.26","4","20-04-2011"
"14326","166.85","2","19-04-2011"
"14327","311.65000000000003","1","29-06-2011"
"14329","4889.14","14","28-06-2011"
"14331","462.66","2","27-07-2011"
"14332","840.21","3","17-11-2011"
"14333","351.45","2","06-10-2011"
"14334","2539.46","9","24-01-2011"
"14335","454.86","2","23-11-2011"
"14336","1614.91","4","25-05-2011"
"14338","554.22","4","27-05-2011"
"14339","289.90999999999997","4","19-04-2011"
"14340","134.7","1","05-05-2011"
"14341","2151.08","9","31-07-2011"
"14342","607.71","6","25-07-2011"
"14344","889.9300000000001","8","28-03-2011"
"14345","108.97999999999999","1","01-11-2011"
"14346","1021.58","2","15-02-2011"
"14348","409.57","1","24-03-2011"
